acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,6 000 000 €,,  27/06/2018,"
                                  1h 42min                            ",126231,,Comédie,France,,,,327,"
                Warner Bros.","
                            Budapest",https://www.jpbox-office.com/fichfilm.php?id=18208&view=2
"
                            Jonathan Cohen,
                            Manu Payet",6 000 000 €,,  27/06/2018,"
                                  1h 42min                            ",126231,,Comédie,France,,,,327,"
                Warner Bros.","
                            Budapest",https://www.jpbox-office.com/fichfilm.php?id=18208&view=2
,11 500 000 $,,  03/02/2016,"
                                  1h 42min                            ",126264,,Comédie,Etats-Unis,,,,248,"
                Metropolitan","
                            Dirty papy",https://www.jpbox-office.com/fichfilm.php?id=15615&view=2
"
                            Robert De Niro,
                            Zac Efron,
                            Danny Glover",11 500 000 $,,  03/02/2016,"
                                  1h 42min                            ",126264,,Comédie,Etats-Unis,,,,248,"
                Metropolitan","
                            Dirty papy",https://www.jpbox-office.com/fichfilm.php?id=15615&view=2
,80 000 000 $,,  17/03/1999,"
                                  1h 36min                            ",126320,Franchise,Film familial,Australie,,"
                                    George Miller",,334,"
                UIP","
                            Babe, le cochon dans la ville",https://www.jpbox-office.com/fichfilm.php?id=3105&view=2
,32 000 000 $,,  21/04/1993,"
                                  2h 07min                            ",124377,,Aventure - Action,Etats-Unis,,,,147,"
                UIP","
                            Les Survivants",https://www.jpbox-office.com/fichfilm.php?id=4587&view=2
"
                            Ethan Hawke",32 000 000 $,James Newton Howard,  21/04/1993,"
                                  2h 07min                            ",124377,,Aventure - Action,Etats-Unis,Kathleen Kennedy,,,147,"
                UIP","
                            Les Survivants",https://www.jpbox-office.com/fichfilm.php?id=4587&view=2
,80 000 000 $,,  23/03/2011,"
                                  1h 50min                            ",126302,,Romance,Etats-Unis,,"
                                    Dennis Dugan",,169,"
                Sony Pictures","
                            Le Mytho",https://www.jpbox-office.com/fichfilm.php?id=11775&view=2
,32 000 000 $,,  28/07/1993,"
                                  1h 43min                            ",122863,,Comédie,Etats-Unis,,"
                                    Harold Ramis",,112,"
                Columbia","
                            Un jour sans fin",https://www.jpbox-office.com/fichfilm.php?id=4586&view=2
"
                            Bill Murray,
                            Andie MacDowell",32 000 000 $,,  28/07/1993,"
                                  1h 43min                            ",122863,,Comédie,Etats-Unis,,"
                                    Harold Ramis",,112,"
                Columbia","
                            Un jour sans fin",https://www.jpbox-office.com/fichfilm.php?id=4586&view=2
"
                            Anne Heche,
                            Denzel Washington,
                            Ray Liotta,
                            Robert Duvall",,,  06/03/2002,"
                                  1h 55min                            ",122897,,Aventure - Action,Etats-Unis,,"
                                    Nick Cassavetes",,207,"
                Metropolitan","
                            John Q",https://www.jpbox-office.com/fichfilm.php?id=1858&view=2
"
                            Anne Heche,
                            Denzel Washington,
                            Ray Liotta,
                            Robert Duvall",36 000 000 $,,  06/03/2002,"
                                  1h 55min                            ",122897,,Aventure - Action,Etats-Unis,,"
                                    Nick Cassavetes",,207,"
                Metropolitan","
                            John Q",https://www.jpbox-office.com/fichfilm.php?id=1858&view=2
,3 100 000 €,,  07/02/2018,"
                                  1h 33min                            ",122946,,Drame,France,,,,135,"
                Haut et Court","
                            Jusqu'à la garde",https://www.jpbox-office.com/fichfilm.php?id=17811&view=2
"
                            Léa Drucker",3 100 000 €,,  07/02/2018,"
                                  1h 33min                            ",122946,,Drame,France,,,,135,"
                Haut et Court","
                            Jusqu'à la garde",https://www.jpbox-office.com/fichfilm.php?id=17811&view=2
"
                            Oliver Gourmet,
                            Lambert Wilson",,,  27/12/2017,"
                                  1h 40min                            ",123056,,Comédie dramatique,France,,,,153,"
                Ad vitam","
                            L'Echange des princesses",https://www.jpbox-office.com/fichfilm.php?id=17665&view=2
"
                            Oliver Gourmet,
                            Lambert Wilson",? €,,  27/12/2017,"
                                  1h 40min                            ",123056,,Comédie dramatique,France,,,,153,"
                Ad vitam","
                            L'Echange des princesses",https://www.jpbox-office.com/fichfilm.php?id=17665&view=2
"
                            Roschdy Zem",,,  29/06/2005,"
                                  1h 32min                            ",123090,,Comédie,France,,,,205,"
                Pan-Européenne","
                            Camping à la ferme",https://www.jpbox-office.com/fichfilm.php?id=830&view=2
"
                            Roschdy Zem",4 160 000 €,,  29/06/2005,"
                                  1h 32min                            ",123090,,Comédie,France,,,,205,"
                Pan-Européenne","
                            Camping à la ferme",https://www.jpbox-office.com/fichfilm.php?id=830&view=2
,13 800 000 €,,  21/05/2003,"
                                  2h 57min                            ",122090,,Drame,Danemark,,"
                                    Lars Von Trier",,193,"
                Films du Losange","
                            Dogville",https://www.jpbox-office.com/fichfilm.php?id=1506&view=2
,40 000 000 $,,  15/05/2019,"
                                  2h 05min                            ",122000,,Comédie,Etats-Unis,,,,294,"
                SND","
                            Séduis-moi si tu peux !",https://www.jpbox-office.com/fichfilm.php?id=19019&view=2
"
                            Seth Rogen,
                            Charlize Theron",40 000 000 $,,  15/05/2019,"
                                  2h 05min                            ",122000,,Comédie,Etats-Unis,,,,294,"
                SND","
                            Séduis-moi si tu peux !",https://www.jpbox-office.com/fichfilm.php?id=19019&view=2
,18 000 000 $,,  12/12/2001,"
                                  1h 36min                            ",121380,Franchise,Romance,Etats-Unis,,,,230,"
                UFD","
                            La Revanche d'une blonde",https://www.jpbox-office.com/fichfilm.php?id=2173&view=2
,2 240 000 €,,  29/06/2022,"
                                  1h 27min                            ",121393,,Horreur,France,,,,279,"
                Apollo Films","
                            Arthur Malédiction",https://www.jpbox-office.com/fichfilm.php?id=22164&view=2
,2 240 000 €,,  29/06/2022,"
                                  1h 27min                            ",121393,,Horreur,France,Luc Besson,,,279,"
                Apollo Films","
                            Arthur Malédiction",https://www.jpbox-office.com/fichfilm.php?id=22164&view=2
"
                            Richard Berry",,,  25/09/2002,"
                                  1h 32min                            ",121351,,Animation,France,,,,173,"
                Gébéka","
                            Corto Maltese",https://www.jpbox-office.com/fichfilm.php?id=1853&view=2
"
                            Richard Berry",4 500 000 €,,  25/09/2002,"
                                  1h 32min                            ",121351,,Animation,France,,,,173,"
                Gébéka","
                            Corto Maltese",https://www.jpbox-office.com/fichfilm.php?id=1853&view=2
,9 000 000 $,,  27/09/2000,"
                                  1h 36min                            ",119995,,Drame,Etats-Unis,,"
                                    Sofia Coppola",,66,"
                Pathé","
                            Virgin Suicides",https://www.jpbox-office.com/fichfilm.php?id=2467&view=2
"
                            Kirsten Dunst,
                            Josh Hartnett,
                            Danny DeVito",9 000 000 $,,  27/09/2000,"
                                  1h 36min                            ",119995,,Drame,Etats-Unis,,"
                                    Sofia Coppola",,66,"
                Pathé","
                            Virgin Suicides",https://www.jpbox-office.com/fichfilm.php?id=2467&view=2
"
                            Jessica Chastain,
                            Penelope Cruz,
                            Diane Kruger",,- Junkie XL,  05/01/2022,"
                                  2h 03min                            ",120131,,Aventure - Action,Etats-Unis,,,,432,"
                SND","
                            355",https://www.jpbox-office.com/fichfilm.php?id=21055&view=2
"
                            Jessica Chastain,
                            Penelope Cruz,
                            Diane Kruger",75 000 000 $,- Junkie XL,  05/01/2022,"
                                  2h 03min                            ",120131,,Aventure - Action,Etats-Unis,,,,432,"
                SND","
                            355",https://www.jpbox-office.com/fichfilm.php?id=21055&view=2
,7 400 000 €,,  08/06/2022,"
                                  1h 43min                            ",120164,,Comédie,France,,"
                                    Nicolas Vanier",,560,"
                SND","
                            Champagne !",https://www.jpbox-office.com/fichfilm.php?id=22059&view=2
,4 774 375 €,,  19/08/2015,"
                                  1h 45min                            ",120168,,Romance,France,,,,228,"
                Pyramide","
                            La Belle saison",https://www.jpbox-office.com/fichfilm.php?id=15351&view=2
"
                            Cate Blanchett,
                            Bill Murray,
                            Owen Wilson,
                            Willem Dafoe,
                            Jeff Goldblum",,,  09/03/2005,"
                                  1h 58min                            ",120257,,Comédie,Etats-Unis,,"
                                    Wes Anderson",,185,"
                Walt Disney Pictures","
                            La Vie aquatique",https://www.jpbox-office.com/fichfilm.php?id=1180&view=2
,19 000 000 $,,  14/01/1998,"
                                  2h 04min                            ",120209,,Thriller,Etats-Unis,,"
                                    Oliver Stone",,120,"
                Columbia","
                            U-Turn, ici commence l'enfer",https://www.jpbox-office.com/fichfilm.php?id=3464&view=2
"
                            Cate Blanchett,
                            Bill Murray,
                            Owen Wilson,
                            Willem Dafoe,
                            Jeff Goldblum",50 000 000 $,,  09/03/2005,"
                                  1h 58min                            ",120257,,Comédie,Etats-Unis,,"
                                    Wes Anderson",,185,"
                Walt Disney Pictures","
                            La Vie aquatique",https://www.jpbox-office.com/fichfilm.php?id=1180&view=2
"
                            Jennifer Lopez,
                            Sean Penn,
                            Nick Nolte,
                            Joaquin Phoenix,
                            Billy Bob Thornton,
                            Jon Voight,
                            Liv Tyler",19 000 000 $,Ennio Morricone,  14/01/1998,"
                                  2h 04min                            ",120209,,Thriller,Etats-Unis,,"
                                    Oliver Stone",,120,"
                Columbia","
                            U-Turn, ici commence l'enfer",https://www.jpbox-office.com/fichfilm.php?id=3464&view=2
"
                            Cécile De France",4 774 375 €,,  19/08/2015,"
                                  1h 45min                            ",120168,,Romance,France,,,,228,"
                Pyramide","
                            La Belle saison",https://www.jpbox-office.com/fichfilm.php?id=15351&view=2
,40 000 000 $,,  08/02/2012,"
                                  1h 46min                            ",120309,,Aventure - Action,Etats-Unis,,,,227,"
                Metropolitan","
                            Recherche bad boys désespérément",https://www.jpbox-office.com/fichfilm.php?id=12375&view=2
"
                            Katherine Heigl",40 000 000 $,,  08/02/2012,"
                                  1h 46min                            ",120309,,Aventure - Action,Etats-Unis,,,,227,"
                Metropolitan","
                            Recherche bad boys désespérément",https://www.jpbox-office.com/fichfilm.php?id=12375&view=2
"
                            Eddie Redmayne,
                            Matthias Schoenaerts",,Alexandre Desplat,  20/01/2016,"
                                  2h 00min                            ",118481,,Drame,Etats-Unis,,,,269,"
                Universal","
                            The Danish Girl",https://www.jpbox-office.com/fichfilm.php?id=15540&view=2
"
                            Eddie Redmayne,
                            Matthias Schoenaerts",15 000 000 $,Alexandre Desplat,  20/01/2016,"
                                  2h 00min                            ",118481,,Drame,Etats-Unis,,,,269,"
                Universal","
                            The Danish Girl",https://www.jpbox-office.com/fichfilm.php?id=15540&view=2
"
                            Bradley Cooper,
                            Sean Penn,
                            John C. Reilly",,,  05/01/2022,"
                                  2h 13min                            ",116871,,Comédie dramatique,Etats-Unis,,"
                                    Paul Thomas Anderson",,184,"
                Universal","
                            Licorice Pizza",https://www.jpbox-office.com/fichfilm.php?id=21552&view=2
"
                            Bradley Cooper,
                            Sean Penn,
                            John C. Reilly",40 000 000 $,,  05/01/2022,"
                                  2h 13min                            ",116871,,Comédie dramatique,Etats-Unis,,"
                                    Paul Thomas Anderson",,184,"
                Universal","
                            Licorice Pizza",https://www.jpbox-office.com/fichfilm.php?id=21552&view=2
,36 000 000 $,,  24/08/2022,"
                                  1h 33min                            ",116929,,Thriller,Etats-Unis,,,,301,"
                Universal","
                            Beast",https://www.jpbox-office.com/fichfilm.php?id=22177&view=2
"
                            Willem Dafoe,
                            Ethan Hawke,
                            Sam Neill",,,  03/03/2010,"
                                  1h 38min                            ",117073,,Horreur,Etats-Unis,,,,229,"
                Metropolitan","
                            Daybreakers",https://www.jpbox-office.com/fichfilm.php?id=10882&view=2
,15 000 000 $,,  28/06/2000,"
                                  1h 50min                            ",116981,,Thriller,Etats-Unis,,"
                                    Rob Cohen",,340,"
                UFD","
                            The Skulls, société secrète",https://www.jpbox-office.com/fichfilm.php?id=2506&view=2
,30 000 000 $,,  10/10/2007,"
                                  2h 40min                            ",117110,,Western,Etats-Unis,,,,192,"
                Warner Bros.","
                            L'Assassinat de Jesse James par le lâche Robert Ford",https://www.jpbox-office.com/fichfilm.php?id=189&view=2
"
                            Brad Pitt,
                            Casey Affleck,
                            Jeremy Renner,
                            Sam Rockwell",30 000 000 $,,  10/10/2007,"
                                  2h 40min                            ",117110,,Western,Etats-Unis,Brad Pitt,,,192,"
                Warner Bros.","
                            L'Assassinat de Jesse James par le lâche Robert Ford",https://www.jpbox-office.com/fichfilm.php?id=189&view=2
"
                            Willem Dafoe,
                            Ethan Hawke,
                            Sam Neill",20 000 000 $,,  03/03/2010,"
                                  1h 38min                            ",117073,,Horreur,Etats-Unis,,,,229,"
                Metropolitan","
                            Daybreakers",https://www.jpbox-office.com/fichfilm.php?id=10882&view=2
"
                            Paul Walker",15 000 000 $,,  28/06/2000,"
                                  1h 50min                            ",116981,,Thriller,Etats-Unis,Neal H. Moritz,"
                                    Rob Cohen",,340,"
                UFD","
                            The Skulls, société secrète",https://www.jpbox-office.com/fichfilm.php?id=2506&view=2
,26 000 000 $,,  04/12/2019,"
                                  2h 24min                            ",117270,,Thriller,Etats-Unis,,,,210,"
                Warner Bros.","
                            Brooklyn Affairs",https://www.jpbox-office.com/fichfilm.php?id=19643&view=2
"
                            Edward Norton,
                            Bruce Willis,
                            Alec Baldwin,
                            Willem Dafoe",26 000 000 $,,  04/12/2019,"
                                  2h 24min                            ",117270,,Thriller,Etats-Unis,,,,210,"
                Warner Bros.","
                            Brooklyn Affairs",https://www.jpbox-office.com/fichfilm.php?id=19643&view=2
"
                            Tom Hanks,
                            Scarlett Johansson,
                            Adrien Brody,
                            Steve Carell,
                            Bryan Cranston,
                            Willem Dafoe,
                            Matt Dillon,
                            Jeff Goldblum,
                            Edward Norton,
                            Margot Robbie,
                            Liev Schreiber",,Alexandre Desplat,  21/06/2023,"
                                  1h 46min                            ",117498,,Comédie dramatique,Etats-Unis,,"
                                    Wes Anderson",,199,"
                Universal","
                            Asteroid City",https://www.jpbox-office.com/fichfilm.php?id=22579&view=2
,22 000 000 $,,  03/11/2010,"
                                  1h 46min                            ",117377,,Thriller,Etats-Unis,,"
                                    Doug Liman",,193,"
                UGC Distribution","
                            Fair Game (2010)",https://www.jpbox-office.com/fichfilm.php?id=11680&view=2
"
                            Tom Hanks,
                            Scarlett Johansson,
                            Adrien Brody,
                            Steve Carell,
                            Bryan Cranston,
                            Willem Dafoe,
                            Matt Dillon,
                            Jeff Goldblum,
                            Edward Norton,
                            Margot Robbie,
                            Liev Schreiber",25 000 000 $,Alexandre Desplat,  21/06/2023,"
                                  1h 46min                            ",117498,,Comédie dramatique,Etats-Unis,,"
                                    Wes Anderson",,199,"
                Universal","
                            Asteroid City",https://www.jpbox-office.com/fichfilm.php?id=22579&view=2
"
                            Gene Hackman,
                            Matt Damon,
                            Robert Duvall",,,  30/03/1994,"
                                  1h 55min                            ",117527,,Western,Etats-Unis,,"
                                    Walter Hill",,182,"
                Columbia","
                            Geronimo",https://www.jpbox-office.com/fichfilm.php?id=4613&view=2
"
                            Gene Hackman,
                            Matt Damon,
                            Robert Duvall",50 000 000 $,,  30/03/1994,"
                                  1h 55min                            ",117527,,Western,Etats-Unis,,"
                                    Walter Hill",,182,"
                Columbia","
                            Geronimo",https://www.jpbox-office.com/fichfilm.php?id=4613&view=2
"
                            Sean Penn,
                            Naomi Watts",22 000 000 $,,  03/11/2010,"
                                  1h 46min                            ",117377,,Thriller,Etats-Unis,,"
                                    Doug Liman",,193,"
                UGC Distribution","
                            Fair Game (2010)",https://www.jpbox-office.com/fichfilm.php?id=11680&view=2
,4 119 152 €,,  08/04/2009,"
                                  1h 34min                            ",115777,,Drame,France,,"
                                    Benoît Jacquot",,125,"
                EuropaCorp","
                            Villa Amalia",https://www.jpbox-office.com/fichfilm.php?id=10674&view=2
"
                            Jean-Hugues Anglade,
                            Isabelle Huppert",4 119 152 €,,  08/04/2009,"
                                  1h 34min                            ",115777,,Drame,France,,"
                                    Benoît Jacquot",,125,"
                EuropaCorp","
                            Villa Amalia",https://www.jpbox-office.com/fichfilm.php?id=10674&view=2
,? €,,  02/07/2014,"
                                  1h 35min                            ",114482,,Comédie,France,,,,225,"
                SND","
                            Duo d'escrocs",https://www.jpbox-office.com/fichfilm.php?id=14225&view=2
,28 000 000 $,,  27/11/2013,"
                                  1h 30min                            ",114465,,Comédie,Etats-Unis,,"
                                    Jon Turteltaub",,187,"
                Universal","
                            Last Vegas",https://www.jpbox-office.com/fichfilm.php?id=13574&view=2
,30 000 000 $,,  09/08/2017,"
                                  1h 35min                            ",114663,,Thriller,Etats-Unis,,,Remake,226,"
                Paramount","
                            Sleepless",https://www.jpbox-office.com/fichfilm.php?id=16617&view=2
,? $,,  28/03/2007,"
                                  1h 27min                            ",114688,,Animation,Etats-Unis,,,,455,"
                TFM Distribution","
                            Cendrillon & le prince (pas trop) charmant",https://www.jpbox-office.com/fichfilm.php?id=62&view=2
,4 220 236 €,,  11/06/2014,"
                                  1h 38min                            ",114679,,Comédie,France,,,,228,"
                SND","
                            La Ritournelle",https://www.jpbox-office.com/fichfilm.php?id=14362&view=2
"
                            Jean-Pierre Darroussin,
                            Isabelle Huppert,
                            Marina Foïs,
                            Pio Marmaï",4 220 236 €,,  11/06/2014,"
                                  1h 38min                            ",114679,,Comédie,France,,,,228,"
                SND","
                            La Ritournelle",https://www.jpbox-office.com/fichfilm.php?id=14362&view=2
"
                            Ramzy Bedia,
                            Dany Boon,
                            Catherine Frot,
                            Eric Judor,
                            Sigourney Weaver,
                            Sarah Michelle Gellar",? $,,  28/03/2007,"
                                  1h 27min                            ",114688,,Animation,Etats-Unis,,,,455,"
                TFM Distribution","
                            Cendrillon & le prince (pas trop) charmant",https://www.jpbox-office.com/fichfilm.php?id=62&view=2
,188853,,  20/03/2024,"
                                  1h 46min                            ",114495,,Comédie dramatique,France,,"
                                    Stéphane Brizé",,334,"
                Gaumont","
                            Hors-saison",https://www.jpbox-office.com/fichfilm.php?id=23532&view=2
"
                            Guillaume Canet",188853,,  20/03/2024,"
                                  1h 46min                            ",114495,,Comédie dramatique,France,,"
                                    Stéphane Brizé",,334,"
                Gaumont","
                            Hors-saison",https://www.jpbox-office.com/fichfilm.php?id=23532&view=2
,? €,,  21/08/2019,"
                                  1h 59min                            ",114773,,Thriller,France,,,,199,"
                Le Pacte","
                            Roubaix, une lumière",https://www.jpbox-office.com/fichfilm.php?id=19529&view=2
"
                            Léa Seydoux,
                            Roschdy Zem",? €,,  21/08/2019,"
                                  1h 59min                            ",114773,,Thriller,France,,,,199,"
                Le Pacte","
                            Roubaix, une lumière",https://www.jpbox-office.com/fichfilm.php?id=19529&view=2
,40 000 000 $,,  05/09/2007,"
                                  1h 39min                            ",114801,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Rogue l'ultime affrontement",https://www.jpbox-office.com/fichfilm.php?id=279&view=2
"
                            Jason Statham,
                            Jet Li",40 000 000 $,Brian Tyler,  05/09/2007,"
                                  1h 39min                            ",114801,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Rogue l'ultime affrontement",https://www.jpbox-office.com/fichfilm.php?id=279&view=2
"
                            Geena Davis",,,  14/02/1996,"
                                  2h 03min                            ",112750,,Aventure - Action,Etats-Unis,,"
                                    Renny Harlin",,257,"
                AMLF","
                            L'Ile aux pirates",https://www.jpbox-office.com/fichfilm.php?id=4065&view=2
"
                            Geena Davis",92 000 000 $,,  14/02/1996,"
                                  2h 03min                            ",112750,,Aventure - Action,Etats-Unis,,"
                                    Renny Harlin",,257,"
                AMLF","
                            L'Ile aux pirates",https://www.jpbox-office.com/fichfilm.php?id=4065&view=2
,85 000 000 $,,  24/05/2000,"
                                  1h 20min                            ",111237,,Animation,Etats-Unis,,,,-,"
                GBVI","
                            Fantasia 2000",https://www.jpbox-office.com/fichfilm.php?id=2454&view=2
"
                            Steve Martin",85 000 000 $,,  24/05/2000,"
                                  1h 20min                            ",111237,,Animation,Etats-Unis,,,,-,"
                GBVI","
                            Fantasia 2000",https://www.jpbox-office.com/fichfilm.php?id=2454&view=2
,40 000 000 $,,  25/05/2011,"
                                  1h 59min                            ",111204,,Drame,Etats-Unis,,,,237,"
                Metropolitan","
                            La Défense Lincoln",https://www.jpbox-office.com/fichfilm.php?id=11903&view=2
"
                            Matthew McConaughey,
                            William H. Macy,
                            Ryan Phillippe,
                            Bryan Cranston",40 000 000 $,,  25/05/2011,"
                                  1h 59min                            ",111204,,Drame,Etats-Unis,,,,237,"
                Metropolitan","
                            La Défense Lincoln",https://www.jpbox-office.com/fichfilm.php?id=11903&view=2
"
                            Kirsten Dunst,
                            Orlando Bloom,
                            Susan Sarandon,
                            Jessica Biel,
                            Alec Baldwin",,,  02/11/2005,"
                                  2h 00min                            ",111382,,Romance,Etats-Unis,Paula Wagner,"
                                    Cameron Crowe",,296,"
                UIP","
                            Rencontres à Elizabethtown",https://www.jpbox-office.com/fichfilm.php?id=856&view=2
"
                            Kirsten Dunst,
                            Orlando Bloom,
                            Susan Sarandon,
                            Jessica Biel,
                            Alec Baldwin",45 000 000 $,,  02/11/2005,"
                                  2h 00min                            ",111382,,Romance,Etats-Unis,Paula Wagner,"
                                    Cameron Crowe",,296,"
                UIP","
                            Rencontres à Elizabethtown",https://www.jpbox-office.com/fichfilm.php?id=856&view=2
,? $,,  12/10/2016,"
                                  1h 54min                            ",111259,,Drame,Etats-Unis,,,,111,"
                Mars Distribution","
                            Captain Fantastic",https://www.jpbox-office.com/fichfilm.php?id=15873&view=2
"
                            Viggo Mortensen",? $,,  12/10/2016,"
                                  1h 54min                            ",111259,,Drame,Etats-Unis,,,,111,"
                Mars Distribution","
                            Captain Fantastic",https://www.jpbox-office.com/fichfilm.php?id=15873&view=2
,? $,,  24/09/2014,"
                                  1h 32min                            ",111447,,Thriller,Grande-Bretagne,,,,216,"
                UGC Distribution","
                            Avant d'aller dormir",https://www.jpbox-office.com/fichfilm.php?id=14473&view=2
"
                            Colin Firth,
                            Nicole Kidman",? $,,  24/09/2014,"
                                  1h 32min                            ",111447,,Thriller,Grande-Bretagne,Ridley Scott,,,216,"
                UGC Distribution","
                            Avant d'aller dormir",https://www.jpbox-office.com/fichfilm.php?id=14473&view=2
,19 830 000 €,,  09/07/2021,"
                                  2h 06min                            ",111255,,Drame,France,,"
                                    Paul Verhoeven",,361,"
                Pathé","
                            Benedetta",https://www.jpbox-office.com/fichfilm.php?id=21045&view=2
"
                            Virginie Efira,
                            Charlotte Rampling,
                            Lambert Wilson",19 830 000 €,,  09/07/2021,"
                                  2h 06min                            ",111255,,Drame,France,,"
                                    Paul Verhoeven",,361,"
                Pathé","
                            Benedetta",https://www.jpbox-office.com/fichfilm.php?id=21045&view=2
,? $,,  21/02/2018,"
                                  1h 42min                            ",109791,,Animation,Japon,,,,166,"
                Diaphana","
                            Mary et la fleur de la sorcière",https://www.jpbox-office.com/fichfilm.php?id=17506&view=2
,7 000 000 $,,  13/12/1995,"
                                  1h 50min                            ",111727,,Drame,Etats-Unis,,,,92,"
                Pyramide","
                            Smoke",https://www.jpbox-office.com/fichfilm.php?id=4002&view=2
"
                            Kate Winslet",? $,,  21/02/2018,"
                                  1h 42min                            ",109791,,Animation,Japon,,,,166,"
                Diaphana","
                            Mary et la fleur de la sorcière",https://www.jpbox-office.com/fichfilm.php?id=17506&view=2
"
                            Harvey Keitel,
                            Ashley Judd,
                            Forest Whitaker",7 000 000 $,,  13/12/1995,"
                                  1h 50min                            ",111727,,Drame,Etats-Unis,,,,92,"
                Pyramide","
                            Smoke",https://www.jpbox-office.com/fichfilm.php?id=4002&view=2
"
                            Sandrine Bonnaire",,,  29/09/2004,"
                                  1h 28min                            ",108500,,Comédie,France,,,,209,"
                UFD","
                            Le Cou de la girafe",https://www.jpbox-office.com/fichfilm.php?id=1179&view=2
"
                            Sandrine Bonnaire",4 698 500 €,,  29/09/2004,"
                                  1h 28min                            ",108500,,Comédie,France,,,,209,"
                UFD","
                            Le Cou de la girafe",https://www.jpbox-office.com/fichfilm.php?id=1179&view=2
,? €,,  20/09/2017,"
                                  1h 25min                            ",108719,,Comédie,France,,,,340,"
                Universal","
                            L'un dans l'autre",https://www.jpbox-office.com/fichfilm.php?id=17312&view=2
,6 307 466 €,,  30/03/2011,"
                                  1h 39min                            ",108531,,Thriller,France,,,,235,"
                Rezo Films","
                            Je n'ai rien oublié",https://www.jpbox-office.com/fichfilm.php?id=11795&view=2
"
                            Gérard Depardieu,
                            Niels Arestrup",6 307 466 €,,  30/03/2011,"
                                  1h 39min                            ",108531,,Thriller,France,,,,235,"
                Rezo Films","
                            Je n'ai rien oublié",https://www.jpbox-office.com/fichfilm.php?id=11795&view=2
"
                            Louise Bourgoin",? €,,  20/09/2017,"
                                  1h 25min                            ",108719,,Comédie,France,,,,340,"
                Universal","
                            L'un dans l'autre",https://www.jpbox-office.com/fichfilm.php?id=17312&view=2
"
                            Gérard Depardieu,
                            Katherine Heigl,
                            Emma Thompson",,,  22/06/1994,"
                                  1h 30min                            ",109075,,Comédie,Etats-Unis,,,Remake,198,"
                GBVI","
                            My Father ce héros",https://www.jpbox-office.com/fichfilm.php?id=4364&view=2
"
                            Gérard Depardieu,
                            Katherine Heigl,
                            Emma Thompson",? $,,  22/06/1994,"
                                  1h 30min                            ",109075,,Comédie,Etats-Unis,,,Remake,198,"
                GBVI","
                            My Father ce héros",https://www.jpbox-office.com/fichfilm.php?id=4364&view=2
"
                            Colin Farrell,
                            Edward Norton,
                            Jon Voight",,,  03/12/2008,"
                                  2h 05min                            ",108773,,Drame,Etats-Unis,,,,193,"
                Metropolitan","
                            Le Prix de la loyauté",https://www.jpbox-office.com/fichfilm.php?id=10022&view=2
"
                            Colin Farrell,
                            Edward Norton,
                            Jon Voight",30 000 000 $,,  03/12/2008,"
                                  2h 05min                            ",108773,,Drame,Etats-Unis,,,,193,"
                Metropolitan","
                            Le Prix de la loyauté",https://www.jpbox-office.com/fichfilm.php?id=10022&view=2
"
                            Benoît Magimel,
                            Mélanie Thierry",,,  24/01/2018,"
                                  2h 06min                            ",109144,,Drame,France,,,,135,"
                Films du Losange","
                            La Douleur",https://www.jpbox-office.com/fichfilm.php?id=17671&view=2
"
                            Benoît Magimel,
                            Mélanie Thierry",6 563 754 €,,  24/01/2018,"
                                  2h 06min                            ",109144,,Drame,France,,,,135,"
                Films du Losange","
                            La Douleur",https://www.jpbox-office.com/fichfilm.php?id=17671&view=2
,3 884 538 €,,  28/02/2018,"
                                  2h 11min                            ",108500,,Romance,Italie,,,,93,"
                Sony Pictures","
                            Call Me by Your Name",https://www.jpbox-office.com/fichfilm.php?id=17609&view=2
"
                            Timothée Chalamet",3 884 538 €,,  28/02/2018,"
                                  2h 11min                            ",108500,,Romance,Italie,,,,93,"
                Sony Pictures","
                            Call Me by Your Name",https://www.jpbox-office.com/fichfilm.php?id=17609&view=2
"
                            Jackie Chan,
                            Jet Li",,,  24/09/2008,"
                                  1h 53min                            ",108439,,Aventure - Action,Etats-Unis,,"
                                    Rob Minkoff",,175,"
                TFM Distribution","
                            Le Royaume interdit",https://www.jpbox-office.com/fichfilm.php?id=9877&view=2
,33 000 000 $,,  09/06/2004,"
                                  2h 04min                            ",109165,,Comicbook,Etats-Unis,,,,247,"
                Columbia","
                            The Punisher",https://www.jpbox-office.com/fichfilm.php?id=1205&view=2
"
                            Jackie Chan,
                            Jet Li",70 000 000 $,,  24/09/2008,"
                                  1h 53min                            ",108439,,Aventure - Action,Etats-Unis,,"
                                    Rob Minkoff",,175,"
                TFM Distribution","
                            Le Royaume interdit",https://www.jpbox-office.com/fichfilm.php?id=9877&view=2
"
                            John Travolta",33 000 000 $,,  09/06/2004,"
                                  2h 04min                            ",109165,,Comicbook,Etats-Unis,Kevin Feige,,,247,"
                Columbia","
                            The Punisher",https://www.jpbox-office.com/fichfilm.php?id=1205&view=2
,10 000 000 $,,  15/01/2020,"
                                  1h 34min                            ",105972,,Horreur,Etats-Unis,,,Remake,178,"
                Sony Pictures","
                            The Grudge (2020)",https://www.jpbox-office.com/fichfilm.php?id=19777&view=2
